mu_a,mu_b,a__G. bulloides,a__G. ruber,a__N. incompta,a__N. pachyderma,a__T. sacculifer,b__G. bulloides,b__G. ruber,b__N. incompta,b__N. pachyderma,b__T. sacculifer,sigma_a,sigma_b,sigma_m,sigma_d,tau__G. bulloides,tau__G. ruber,tau__N. incompta,tau__N. pachyderma,tau__T. sacculifer
3.5041618944435413,-0.2328278932458724,4.0927764139338105,4.498635482757749,3.783184525681088,4.147126878822313,3.0956344517074923,-0.23308615370828994,-0.2455349533704396,-0.21588688182659024,-0.21766532988097442,-0.18307291124487093,0.6515227918411625,0.017677318181059817,0.525750792787063,0.04693255110715815,0.5817363191426077,0.48735907094804826,0.521958970072469,0.4521216027824666,0.40101421942975923
4.045654213945604,-0.2153311406943567,4.1632226191512425,4.256921248954769,3.772346994916381,4.129136511403956,3.2253842822228918,-0.23411933052396816,-0.23734302293008389,-0.21376709391700463,-0.21445341488486863,-0.1909527739414656,0.43713731480460544,0.019531297012308758,0.497296935333733,0.0846179002500253,0.5841990919746346,0.48573137026381114,0.5570265556139072,0.43513981252330386,0.3936758187082863
3.7276354684619952,-0.2129941605277665,3.980760919552836,4.541725170330364,3.278958325671285,4.0453872705820295,2.9793662845433055,-0.22469587491605286,-0.2469859898843385,-0.16937298536836243,-0.20346785482129967,-0.17940265932455765,0.4021364915731692,0.08198450484853066,0.46711183338959406,0.08369995444033981,0.5733941690651853,0.4744445197962607,0.46818312334536694,0.43263313728954594,0.4010066128645349
4.02242041650223,-0.22345839199266726,4.047258732300854,4.594407684672446,3.275777298810564,4.0187457827334985,3.039078449190642,-0.22832146184507204,-0.24907803356869754,-0.17318994685027625,-0.19978605417006046,-0.18259625244043515,0.9812792262124015,0.075213801844214,0.5001083342090321,0.1503898233031015,0.5503261613761155,0.4692774408546692,0.5300624650661696,0.4536617111575602,0.4163108432154467
3.87439798331259,-0.20353255970242043,4.055293469980743,4.147126787636014,3.3680531891778553,4.144437396737194,3.262064022791658,-0.22760452267055784,-0.23382942331407855,-0.17674646630300705,-0.21362689142042687,-0.19058013051831682,0.6479098004992361,0.017602981093031697,0.5004085064325688,0.08233140385782248,0.5871997878971791,0.4766815870933891,0.5154643912539878,0.49167812601998656,0.4080638015912735
3.7549141795747563,-0.19224932525683844,3.895544398893947,4.46902056491674,3.3461684205009155,4.145382516790875,3.143177384596558,-0.2206914135129033,-0.24433487193082323,-0.17467693774992066,-0.21965982216277602,-0.18579639073323162,0.42587937649059304,0.06823808156424649,0.524201919475139,0.11289222960972502,0.6548711131397787,0.46584143633350134,0.5717812274559436,0.4833566682981558,0.40058715194129213
3.906280908563971,-0.2226038500794341,4.1493723484310125,3.9959584933133385,3.902173297718334,4.101128792938516,3.5681591866281375,-0.2329364651931704,-0.2264382466389286,-0.22162891113383143,-0.21292628430753693,-0.20291262343422714,0.30846616247304426,0.015713880525269886,0.4622175403382896,0.03382114409550656,0.5279066225167306,0.4835534159198414,0.5453965230546483,0.45862574507551107,0.4093728320091433
3.7970246660113567,-0.20657776347265805,4.093066596539645,4.040041134667811,3.589164331876537,4.099437040873678,3.508968055338496,-0.23182909113746097,-0.22920219903456487,-0.19470492278902857,-0.20917569275995382,-0.20086614702629468,0.2346416110767002,0.031268886013372195,0.4990797948928263,0.1318413092199863,0.5477814827923799,0.49550018068817836,0.5377335597026524,0.46245333407028705,0.4022749812384178
3.905327798655599,-0.19941828602496345,4.020673692332376,4.707396031678671,3.4861552238627,4.087619805030138,2.9643270462908573,-0.22603055895553378,-0.25322013346213174,-0.19374794685695046,-0.2094354880992625,-0.18008340357648558,0.5812998909377162,0.023146225692425644,0.49127644153854183,0.1645993713557536,0.6069738923710224,0.4726555135617829,0.6085086378650768,0.4783770547405005,0.3781772712878548
3.956974603394791,-0.20003886696658157,4.024028238399415,4.672210474687005,3.46400050472504,4.094675568514363,2.9524997387473495,-0.22577325363493056,-0.25445159603678824,-0.19407747671987943,-0.20974500021960507,-0.17960559684189586,0.5765176952791936,0.022152354866782915,0.49585128248086985,0.16491752354858047,0.6077224510684618,0.4735629938630921,0.60850300933117,0.47462135203406913,0.3823452439772167
