mu_a,mu_b,a__G. bulloides,a__G. ruber,a__N. incompta,a__N. pachyderma,a__T. sacculifer,b__G. bulloides,b__G. ruber,b__N. incompta,b__N. pachyderma,b__T. sacculifer,sigma_a,sigma_b,sigma_m,sigma_d,tau__G. bulloides,tau__G. ruber,tau__N. incompta,tau__N. pachyderma,tau__T. sacculifer
2.962690677281262,-0.18271257744873995,3.9917860550290913,2.4921096037188706,3.159569049100353,3.929377823115383,2.2690080510293953,-0.22249489041409518,-0.1768649952852101,-0.16310305453804153,-0.18431128906190616,-0.1554033552640891,1.1269544308193455,0.03147874256022731,0.43830249257494946,0.08057949892207139,0.5749136454838037,0.4067267027496233,0.5202822368504222,0.4662787788753213,0.41142270265423053
2.9894946658460997,-0.1699830763579141,3.9114186270699363,2.457029674326171,3.107052495077509,3.963540567397983,2.1152629038956308,-0.22376999835084962,-0.17452166674138844,-0.16101129418608862,-0.1809837339933419,-0.1505025301155967,0.8270696442155723,0.02755364043086324,0.43574925662490455,0.13892623938936535,0.610672443161453,0.3937590046075144,0.5051475385526293,0.4625140968251894,0.43772807309375117
3.297549601620549,-0.15959043073073742,3.8900626194822117,2.613252900462004,3.0578731816826004,3.8862417251730212,2.3732847772682355,-0.21944501275043884,-0.18178274242136624,-0.15862571769251999,-0.17766981546750782,-0.15954582924134023,0.48871803985680634,0.07332850714815256,0.5945970434611645,0.12213504873222249,0.5742173782292512,0.38966144337486147,0.5004374284172647,0.4502440076953626,0.4144384946316671
3.1866271516875533,-0.1662235025058706,3.8689715518651653,2.6164308664039324,3.148167730540522,3.8764622273377194,2.318604034448278,-0.21885623303646554,-0.18117752760372943,-0.15542869322736774,-0.1753687934911163,-0.1576429358683297,0.4700139523275076,0.05894002342602907,0.5890906288297035,0.13388451806738427,0.5880809012071169,0.39935653320207526,0.48085810853133193,0.45374918157159005,0.394842110972456
3.1199645488306347,-0.15713979234123251,3.91661019288194,2.518835610000451,2.977968252259522,3.912307692832725,2.09532708856587,-0.21636639124269727,-0.17681816611019865,-0.14922957594955838,-0.17398776879819258,-0.14864682832985815,1.0650986175267063,0.05251143828859045,0.5181955386880619,0.1517529281011453,0.5796036306355576,0.3927483464070651,0.5008656102101506,0.4726538760042126,0.37525752601369894
2.7041563383698164,-0.16599181033780178,3.9926696471524745,2.4481219368935343,2.8505743664017196,3.9982725449248773,1.5767829367000237,-0.22317418538385175,-0.1739616926208797,-0.13906600776579714,-0.18740467133215272,-0.12753340325824758,0.7649595427373375,0.03868376864939212,0.6145546843474513,0.2109040508157337,0.5988123452088384,0.40487940982970383,0.5322954205694685,0.4757756763044367,0.43163061610755543
3.1275312172222507,-0.16958751900906438,3.9085805201439427,2.513542987876782,3.0343912344323534,3.928423659551139,2.1609864441421474,-0.21773743051610306,-0.1774223064281283,-0.16279327111252836,-0.1793947074181019,-0.1513417354150711,1.089452690313062,0.03625271919535709,0.43772914554805875,0.1904315086108285,0.5996152597634271,0.3956305368312268,0.4837465120877656,0.45609961104797464,0.38502428876553374
3.1972190134448173,-0.17448145718373165,3.9892598310309104,2.619682403362165,2.949759061400014,4.023110422366406,1.8204207881519074,-0.22853728991486924,-0.18209539651632228,-0.14136451913038012,-0.189227687480782,-0.13872602333575104,0.6578608508965351,0.05264932139266244,0.5524224963831719,0.06294394432437651,0.5750040354067385,0.40500252419723537,0.5606436182906988,0.4999372353948195,0.4155580574826403
3.4615919050307196,-0.17883958584132248,3.8740673538493313,2.584840181928146,2.9624024530247284,3.9517690756765074,2.157601117811534,-0.22138071877911464,-0.17954509936702864,-0.15156125297917547,-0.1802344184812593,-0.15088062714850875,1.084662897911308,0.03831051413665405,0.3649191578602142,0.18811241057997585,0.595169126703477,0.4032212613368569,0.46126830544357866,0.4752152823010972,0.38676468268856545
3.0151695906378406,-0.1622717246232816,3.8538734386861244,2.7806383996991455,3.266390651129641,3.94530909843959,1.874681953030322,-0.2192700853853304,-0.1883912211898996,-0.1694393530878542,-0.17910129756553403,-0.14016953187192432,0.891285946042646,0.02669534491753381,0.41588361418539116,0.0743065750926483,0.5717931802559835,0.3975329268229387,0.5107327365730263,0.4618871290310608,0.41729490562142596
3.444934308298522,-0.20330078000952823,3.889909884234543,2.811044645613554,3.323794653148945,3.9464768017949905,2.077295730451207,-0.2199566386997241,-0.1876235607655954,-0.17479881303732347,-0.17955237268749935,-0.14690937166779952,0.6078798069541427,0.032636650267152637,0.5186605916271019,0.07572203830844837,0.5564277290600815,0.41457314815102253,0.5367042665357807,0.46289180377555267,0.39476473775851056
